ENTRYTYPE,ID,abstract,address,adsnote,adsurl,affiliation,an,annote,archiveprefix,article_type,author,author_keywords,bdsk-file-1,bdsk-url-1,bdsk-url-2,bibsource,biburl,booktitle,chapter,citation,copyright,da,date,date-added,date-modified,db,document_type,doi,dp,edition,editor,eid,elocation-id,eprint,et,howpublished,id,institution,isbn,issn,issue,j2,journal,journal1,journal2,keywords,l2,la,language,local-url,location,lp,m3,month,n2,note,number,numpages,organization,pages,pmid,primaryclass,pub_date,publisher,read,reviewed-author,school,series,source,tags,timestamp,title,ty,type,u1,u2,url,volume,year,year1
article,Alme2014PNAS,"The hippocampus is thought to store a large number of experiences that, despite their similarity, can be individually retrieved with minimal interference. Studies have shown that place cells in hippocampal area CA3 form statistically independent representations of pairs of environments. It has remained unclear, however, whether CA3 place cells maintain this independence when the number of environments is increased. We recorded activity from CA3 in 11 environments with nearly identical geometric features. Spatial firing patterns remained uncorrelated across all 55 pairs of environments, with minimal overlap in the populations of active cells. The data suggest that the capacity of the CA3 network is large and speak against extensive recurrence of spatial motifs across experiences.The contribution of hippocampal circuits to high-capacity episodic memory is often attributed to the large number of orthogonal activity patterns that may be stored in these networks. Evidence for high-capacity storage in the hippocampus is missing, however. When animals are tested in pairs of environments, different combinations of place cells are recruited, consistent with the notion of independent representations. However, the extent to which representations remain independent across larger numbers of environments has not been determined. To investigate whether spatial firing patterns recur when animals are exposed to multiple environments, we tested rats in 11 recording boxes, each in a different room, allowing for 55 comparisons of place maps in each animal. In each environment, activity was recorded from neuronal ensembles in hippocampal area CA3, with an average of 30 active cells per animal. Representations were highly correlated between repeated tests in the same room but remained orthogonal across all combinations of different rooms, with minimal overlap in the active cell samples from each environment. A low proportion of cells had activity in many rooms but the firing locations of these cells were completely uncorrelated. Taken together, the results suggest that the number of independent spatial representations stored in hippocampal area CA3 is large, with minimal recurrence of spatial firing patterns across environments.",,,,,,,,,"Alme, Charlotte B. and Miao, Chenglin and Jezek, Karel and Treves, Alessandro and Moser, Edvard I. and Moser, May-Britt",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2FsbWUyMDE0cG5hcy5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QYWxtZTIwMTRwbmFzLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFsbWUyMDE0cG5hcy5wZGYAAA4AIgAQAGEAbABtAGUAMgAwADEANABwAG4AYQBzAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FsbWUyMDE0cG5hcy5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-12-21 19:59:40 +0100,2020-12-21 19:59:59 +0100,,,10.1073/pnas.1421056111,,,,,,https://www.pnas.org/content/111/52/18428.full.pdf,,,,,,0027-8424,,,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,52,,,18428--18435,,,,National Academy of Sciences,,,,,,,,Place cells in the hippocampus: Eleven maps for eleven rooms,,,,,https://www.pnas.org/content/111/52/18428,111,2014,
article,Altimus2015MN,"We present results from a novel comparative approach to the study of the mechanisms of psychiatric disease. Previous work has examined neural activity patterns in the hippocampus of a freely behaving mouse model associated with schizophrenia, the calcineurin knockout mouse. Here, we examined a genetically distinct mouse model that exhibits a similar set of behavioral phenotypes associated with schizophrenia, a transgenic model expressing a putative dominant-negative DISC1 (DN-DISC1). Strikingly, the principal finding of the earlier work is replicated in the DN-DISC1 mice, that is, a selective increase in the numbers of sharp-wave ripple (SWR) events in the hippocampal local field potential (LFP), while at the same time other LFP patterns such as theta and gamma are unaffected. SWRs are thought to arise from hippocampal circuits and reflect the coordinated activity of the principal excitatory cells of the hippocampus in specific patterns that represent reactivated memories of previous experiences and imagined future experiences that predict behavior. These findings suggest that multiple genetic alterations could converge on distinct patterns of aberrant neurophysiological function to give rise to common behavioral phenotypes in psychiatric disease.",,,,,,,,,"Altimus, Cara and Harrold, Jon and Jaaro-Peled, Hanna and Sawa, Akira and Foster, David J.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2FsdGltdXMyMDE1bW4ucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWFsdGltdXMyMDE1bW4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczphbHRpbXVzMjAxNW1uLnBkZgAOACQAEQBhAGwAdABpAG0AdQBzADIAMAAxADUAbQBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FsdGltdXMyMDE1bW4ucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2020-02-07 10:38:19 +0100,2020-03-31 14:28:13 +0200,,,10.1159/000380765,,,,,,,,,,,,2296-9179,,,Molecular Neuropsychiatry,,,,,,,,,,,,,,1,,,52--59,,,,S. Karger AG,,,,,,replay; ripples; disorders,,Disordered Ripples Are a Common Feature of Genetically Distinct Mouse Models Relevant to Schizophrenia,,,,,http://dx.doi.org/10.1159/000380765,1,2015,
article,Alvarez1994PNAS,"Some forms of memory have been shown to depend on a system of medial temporal lobe structures that includes the hippocampus and the adjacent cortical areas (entorhinal, perirhinal, and parahippocampal cortex). The role of this system is only temporary, however, as indicated by the fact that, after damage to the medial temporal lobe, recent memories are impaired but very remote memories are intact. Here we review the evidence that the medial temporal lobe memory system is involved in a process of consolidation: memories are initially dependent on this system but gradually become established in other areas of the brain. We then review some of the ideas that have been proposed about the phenomenon of consolidation and suggest a synthesis of these views. Finally, we describe a simple neural network model that captures some key features of consolidation.",,,,,,,,,"Alvarez, P. and Squire, L. R.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAdLi4vcGFwZXJzL2FsdmFyZXoxOTk0cG5hcy5wZGZPEQF2AAAAAAF2AAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8TYWx2YXJlejE5OTRwbmFzLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAEIvOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFsdmFyZXoxOTk0cG5hcy5wZGYADgAoABMAYQBsAHYAYQByAGUAegAxADkAOQA0AHAAbgBhAHMALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgBAVXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvYWx2YXJlejE5OTRwbmFzLnBkZgATAAEvAAAVAAIAD///AAAACAANABoAJABEAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAb4=,,,,,,,,,,,2019-12-27 16:45:55 +0100,2020-03-31 14:28:13 +0200,,,10.1073/pnas.91.15.7041,,,,,,,,,,,,1091-6490,,,Proceedings of the National Academy of Sciences,,,,,,,,,,,Jul,,,15,,,7041--7045,,,,Proceedings of the National Academy of Sciences,,,,,,memory consolidation; modeling,,Memory consolidation and the medial temporal lobe: a simple network model.,,,,,http://dx.doi.org/10.1073/pnas.91.15.7041,91,1994,
article,Alvernhe2008JN,"Place cells are hippocampal neurons whose discharge is strongly related to a rat's location in its environment. The existence of place cells has led to the proposal that they are part of an integrated neural system dedicated to spatial navigation. To further understand the relationships between place cell firing and spatial problem solving, we examined the discharge of CA1 and CA3 place cells as rats were exposed to a shortcut in a runway maze. On specific sessions, a wall section of the maze was removed so as to open a shorter novel route within the otherwise familiar maze. We found that the discharge of both CA1 and CA3 cells was strongly affected in the vicinity of the shortcut region but was much less affected farther away. In addition, CA3 fields away from the shortcut were more altered than CA1 fields. Thus, place cell firing appears to reflect more than just the animal's spatial location and may provide additional information about possible motions, or routes, within the environment. This kinematic representation appears to be spatially more extended in CA3 than in CA1, suggesting interesting computational differences between the two subregions.",,,,,,,,,"Alvernhe, A. and Van Cauter, T. and Save, E. and Poucet, B.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAcLi4vcGFwZXJzL2FsdmVybmhlMjAwOGpuLnBkZk8RAXQAAAAAAXQAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xJhbHZlcm5oZTIwMDhqbi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAQS86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6YWx2ZXJuaGUyMDA4am4ucGRmAAAOACYAEgBhAGwAdgBlAHIAbgBoAGUAMgAwADAAOABqAG4ALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA/VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvYWx2ZXJuaGUyMDA4am4ucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJABDAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAbs=,,,,,,,,,,,2020-07-05 15:35:14 +0200,2020-07-05 15:35:59 +0200,,,10.1523/jneurosci.1909-08.2008,,,,,,,,,,,,1529-2401,,,Journal of Neuroscience,,,hippocampus; unit recordings; place cells; spatial processing; rat; spatial cognition,,,,,,,,Jul,,,29,,,7324--7333,,,,Society for Neuroscience,,,,,,,,Different CA1 and CA3 Representations of Novel Routes in a Shortcut Situation,,,,,http://dx.doi.org/10.1523/JNEUROSCI.1909-08.2008,28,2008,
article,Alvernhe2012AC,"Although rats are able to build complex spatial representations of their surroundings during exploration, the nature of the encoded information is still a matter for debate. In particular, it is not well established if rats can process the topological structure of the environment in such a way that they are aware of the connections existing between remote places. Here, rats were first exposed for four 5-min trials to a complex environment divided into several sectors that were separated by doors allowing either unrestricted or restricted access to other sectors. In the fifth test trial, we measured the behavior of the animals while they explored the same environment in which, however, they faced changes that either altered or did not alter the topological structure of the environment. In experiment 1, closing previously opened doors prevented the rat from having direct access between corresponding sectors. In experiment 2, opening previously closed doors allowed direct access between sectors that had not been directly accessible. In each experiment, control doors allowed us to discard the mere influence of door manipulation. We compared the rats'exploratory behavior in response to door manipulations that either strongly altered or did not alter the ability to commute between sectors and found evidence that the animals displayed differential reactions to the two types of door manipulations. This implies that during exploration rats build a precise map of the connectivity of space that can be flexibly updated and used for efficient navigation.",,,,,,,,,"Alvernhe, Alice and Sargolini, Francesca and Poucet, Bruno",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAcLi4vcGFwZXJzL2FsdmVybmhlMjAxMmFjLnBkZk8RAXQAAAAAAXQAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xJhbHZlcm5oZTIwMTJhYy5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAFBERiBDQVJPAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAQS86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6YWx2ZXJuaGUyMDEyYWMucGRmAAAOACYAEgBhAGwAdgBlAHIAbgBoAGUAMgAwADEAMgBhAGMALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA/VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvYWx2ZXJuaGUyMDEyYWMucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJABDAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAbs=,,,,,,,,,2012/05/01,,2021-01-25 17:07:27 +0100,2021-01-25 17:07:41 +0100,,,10.1007/s10071-011-0460-z,,,,,,,,,Alvernhe2012,,1435-9456,,,,Animal Cognition,,,,,,,,,,,,,,3,,,359--368,,,,,,,,,,,,Rats build and update topological representations through exploration,JOUR,,,,https://doi.org/10.1007/s10071-011-0460-z,15,2012,
article,Aly2018N,,,,,,,,,,"Aly, Mariam",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAWLi4vcGFwZXJzL2FseTIwMThuLnBkZk8RAVwAAAAAAVwAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////wxhbHkyMDE4bi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAOy86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6YWx5MjAxOG4ucGRmAAAOABoADABhAGwAeQAyADAAMQA4AG4ALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA5VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvYWx5MjAxOG4ucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJAA9AAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAZ0=,,,,,,,,,,,2019-10-25 08:43:48 +0200,2020-03-31 14:28:13 +0200,,,10.1038/d41586-018-06167-w,,,,,,,,,,,,1476-4687,,,Nature,,,,,,,,,,,Sep,,,7721,,,7--7,,,,Springer Science and Business Media LLC,,,,,,,,The key to a happy lab life is in the manual,,,,,http://dx.doi.org/10.1038/d41586-018-06167-w,561,2018,
article,Ambrose2016N,"Hippocampal replays are episodes of sequential place cell activity during sharp-wave ripple oscillations (SWRs). Conflicting hypotheses implicate awake replay in learning from reward and in memory retrieval for decision making. Further, awake replays can be forward, in the same order as experienced, or reverse, in the opposite order. However, while the presence or absence of reward has been reported to modulate SWR rate, the effect of reward changes on replay, and on replay direction in particular, has not been examined. Here we report divergence in the response of forward and reverse replays to changing reward. While both classes of replays were observed at reward locations, only reverse replays increased their rate at increased reward or decreased their rate at decreased reward, while forward replays were unchanged. These data demonstrate a unique relationship between reverse replay and reward processing and point to a functional distinction between different directions of replay.",,,,,,,,,"Ambrose, R. Ellen and Pfeiffer, Brad E. and Foster, David J.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2FtYnJvc2UyMDE2bi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QYW1icm9zZTIwMTZuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFtYnJvc2UyMDE2bi5wZGYAAA4AIgAQAGEAbQBiAHIAbwBzAGUAMgAwADEANgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FtYnJvc2UyMDE2bi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2019-11-01 12:25:09 +0100,2020-03-31 14:28:13 +0200,,,10.1016/j.neuron.2016.07.047,,,,,,,,,,,,0896-6273,,,Neuron,,,,,,,,,,,Sep,,,5,,,1124--1136,,,,Elsevier BV,,,,,,,,Reverse Replay of Hippocampal Place Cells Is Uniquely Modulated by Changing Reward,,,,,http://dx.doi.org/10.1016/j.neuron.2016.07.047,91,2016,
phdthesis,Ambrose2016JHU,"The hippocampus is necessary for the encoding and consolidation of new experiences, as well as implicated in retrieval of memories for planning and guiding behavior. Hippocampal pyramidal neurons, called place cells, are active in a position dependent manner and the population encodes the animal's current location as it moves around, exploring an environment. During pauses in exploration or subsequent sleep, place cells are reactivated in sequences, known as replay, that reflect trajectories through previous or current environments. Since replays are relatively difficult to detect, they are often studied indirectly through events in the local field potential called sharp wave ripples (SWRs). A key piece of evidence for the involvement of replay in consolidation is the increase in SWRs in the presence of reward. Blocking SWRs during behavior interferes with task performance, suggesting that retrieval is affected. Consequently, awake replay is considered a candidate mechanism of both consolidation and retrieval. We used high density tetrode recording to detect replays in behaving rats when reward was increased or removed. Replays that occurred in reverse, the opposite direction of experience, were increased when reward increased while forward replays did not change. We interpret these results as evidence that reverse replays are involved in learning about reward and consolidation while forward replays relate to functions such as memory retrieval or planning. The importance of reward in replay processing is further supported by preliminary results showing that replays occur during reward consumption at higher than chance levels. This data was obtained using a custom application for detecting licking behavior. Our results demonstrate an important difference between forward and reverse replays and emphasize necessity of considering replay content rather than relying on SWRs. We present a preliminary novel program for real-time decoding of replay content, the Online Replay Decoding Algorithm (ORDEAL), which can be used to associate particular replay trajectories with rewarding brain stimulation or other manipulations. The research and technical advances described in this thesis represent a significant step towards understanding how replay interacts with reward, providing a foundation for the continued study of this important topic.",,,,,,,,,"Ambrose, Rebecca Ellen",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAcLi4vcGFwZXJzL2FtYnJvc2UyMDE2amh1LnBkZk8RAXQAAAAAAXQAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xJhbWJyb3NlMjAxNmpodS5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAFBERiBDQVJPAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAQS86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6YW1icm9zZTIwMTZqaHUucGRmAAAOACYAEgBhAG0AYgByAG8AcwBlADIAMAAxADYAagBoAHUALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA/VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvYW1icm9zZTIwMTZqaHUucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJABDAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAbs=,,,,,,,,,,,2020-05-11 15:50:02 +0200,2020-05-11 15:51:54 +0200,,,,,,,,,,,,,,,,,,Johns Hopkins University,,,,,,,,,,,,,,,,,,,,,,,,Johns Hopkins University,,,,,Hippocampal Replay and Learning from Reward,,,,,http://jhir.library.jhu.edu/handle/1774.2/40302,,2016,
article,Amrhein2019N,"Valentin Amrhein, Sander Greenland, Blake McShane and more than 800 signatories call for an end to hyped claims and the dismissal of possibly crucial effects. ",,,,,,,,,"Amrhein, Valentin and Greenland, Sander and McShane, Blake",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2FtcmhlaW4yMDE5bi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QYW1yaGVpbjIwMTluLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFtcmhlaW4yMDE5bi5wZGYAAA4AIgAQAGEAbQByAGgAZQBpAG4AMgAwADEAOQBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FtcmhlaW4yMDE5bi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2019-11-26 09:28:44 +0100,2020-03-31 14:28:12 +0200,,,10.1038/d41586-019-00857-9,,,,,,,,,,,,1476-4687,,,Nature,,,,,,,,,,,Mar,,,7748,,,305--307,,,,Springer Nature,,,,,,,,Scientists rise up against statistical significance,,,,,http://dx.doi.org/10.1038/d41586-019-00857-9,567,2019,
article,Anderson2003JN,"Hippocampal place cells show spatially localized activity that can be modulated by both geometric information (e.g., the distances and directions of features in the environment) and nongeometric information (e.g., colors, odors, and possibly behaviors). Nongeometric information may allow the discrimination of different spatial contexts. Understanding how nongeometric (or contextual) information affects hippocampal activity is important in light of proposals that the hippocampus may play a role in constructing a representation of spatial context. We investigated the contextual modulation of place cell activity by recording hippocampal place cells while rats foraged in compound contexts comprising black or white color paired with lemon or vanilla odor. Some cells responded to the color or odor changes alone, but most responded to varying combinations of both. Thus, we demonstrate, for the first time, that there is a heterogeneous input by contextual inputs into the hippocampus. We propose a model of contextual remapping of place cells in which the geometric inputs are selectively activated by subsets of contextual stimuli. Because it appears that different place cells are affected by different subsets of contextual stimuli, the representation of the entire context would require activity at the population level, supporting a role for the hippocampus in constructing a representation of spatial context.",,,,,,,,,"Anderson, Michael I. and Jeffery, Kathryn J.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAcLi4vcGFwZXJzL2FuZGVyc29uMjAwM2puLnBkZk8RAXQAAAAAAXQAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xJhbmRlcnNvbjIwMDNqbi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAQS86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6YW5kZXJzb24yMDAzam4ucGRmAAAOACYAEgBhAG4AZABlAHIAcwBvAG4AMgAwADAAMwBqAG4ALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA/VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvYW5kZXJzb24yMDAzam4ucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJABDAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAbs=,,,,,,,,,,,2020-12-20 14:56:21 +0100,2020-12-20 14:56:42 +0100,,,10.1523/JNEUROSCI.23-26-08827.2003,,,,,,https://www.jneurosci.org/content/23/26/8827.full.pdf,,,,,,0270-6474,,,Journal of Neuroscience,,,,,,,,,,,,,,26,,,8827--8835,,,,Society for Neuroscience,,,,,,,,Heterogeneous Modulation of Place Cell Firing by Changes in Context,,,,,https://www.jneurosci.org/content/23/26/8827,23,2003,
